Aikaleima (dd.mm.yyyy hh:mm);Viikko;Yhteensä;Kevyt ajoneuvo Imatra;Raskas ajoneuvo Imatra;Kevyt ajoneuvo Lpr;Raskas ajoneuvo Lpr
02.01.2021 20:00;0;267;124;12;122;9
02.01.2021 21:00;0;251;110;7;120;14
02.01.2021 22:00;0;202;83;3;105;11
02.01.2021 23:00;0;116;54;8;49;5
03.01.2021 00:00;0;63;30;5;25;3
03.01.2021 01:00;0;70;33;5;27;5
03.01.2021 02:00;0;45;23;1;17;4
03.01.2021 03:00;0;31;10;3;15;3
03.01.2021 04:00;0;32;18;1;7;6
03.01.2021 05:00;0;73;26;7;34;6
03.01.2021 06:00;0;124;60;4;46;14
03.01.2021 07:00;0;124;52;9;59;4
03.01.2021 08:00;0;118;48;7;57;6
03.01.2021 09:00;0;258;122;7;113;16
03.01.2021 10:00;0;382;148;7;208;19
03.01.2021 11:00;0;689;263;9;399;18
03.01.2021 12:00;0;822;325;7;469;21
03.01.2021 13:00;0;983;402;22;526;33
03.01.2021 14:00;0;1010;418;12;535;45
03.01.2021 15:00;0;993;441;9;506;37
03.01.2021 16:00;0;836;353;14;429;40
03.01.2021 17:00;0;681;271;9;359;42
03.01.2021 18:00;0;490;213;13;234;30
03.01.2021 19:00;0;400;154;18;202;26
03.01.2021 20:00;0;327;138;15;146;28
03.01.2021 21:00;0;246;119;11;99;17
03.01.2021 22:00;0;155;63;15;68;9
03.01.2021 23:00;0;89;41;10;30;8
04.01.2021 00:00;1;84;31;15;30;8
04.01.2021 01:00;1;75;19;15;30;11
04.01.2021 02:00;1;53;8;13;17;15
04.01.2021 03:00;1;77;16;17;22;22
04.01.2021 04:00;1;119;31;22;34;32
04.01.2021 05:00;1;334;131;39;124;40
04.01.2021 06:00;1;879;395;32;388;64
04.01.2021 07:00;1;953;397;54;448;54
04.01.2021 08:00;1;745;282;58;334;71
04.01.2021 09:00;1;743;267;63;357;56
04.01.2021 10:00;1;800;311;75;340;74
04.01.2021 11:00;1;957;400;65;429;63
04.01.2021 12:00;1;1038;437;67;476;58
04.01.2021 13:00;1;1034;467;55;438;74
04.01.2021 14:00;1;1136;528;59;496;53
04.01.2021 15:00;1;1452;685;60;629;78
04.01.2021 16:00;1;1322;653;50;550;69
04.01.2021 17:00;1;896;436;50;338;72
04.01.2021 18:00;1;733;332;55;288;58
04.01.2021 19:00;1;493;224;42;181;46
04.01.2021 20:00;1;348;154;36;128;30
04.01.2021 21:00;1;298;140;37;93;28
04.01.2021 22:00;1;219;83;26;84;26
04.01.2021 23:00;1;123;39;26;39;19
05.01.2021 00:00;1;71;19;18;15;19
05.01.2021 01:00;1;56;14;22;7;13
05.01.2021 02:00;1;57;11;15;15;16
05.01.2021 03:00;1;63;10;24;10;19
05.01.2021 04:00;1;140;39;28;37;36
05.01.2021 05:00;1;384;162;40;135;47
05.01.2021 06:00;1;799;355;43;341;60
05.01.2021 07:00;1;949;376;56;464;53
05.01.2021 08:00;1;760;273;59;348;80
05.01.2021 09:00;1;729;268;65;322;74
05.01.2021 10:00;1;809;311;78;352;68
05.01.2021 11:00;1;937;398;55;409;75
05.01.2021 12:00;1;1036;437;72;462;65
05.01.2021 13:00;1;1098;486;76;461;75
05.01.2021 14:00;1;1209;510;55;574;70
05.01.2021 15:00;1;1436;680;71;621;64
05.01.2021 16:00;1;1339;670;57;545;67
05.01.2021 17:00;1;1039;522;52;402;63
05.01.2021 18:00;1;751;390;39;275;47
05.01.2021 19:00;1;568;287;40;200;41
05.01.2021 20:00;1;406;177;27;162;40
05.01.2021 21:00;1;354;163;28;128;35
05.01.2021 22:00;1;233;88;27;90;28
05.01.2021 23:00;1;131;42;26;45;18
06.01.2021 00:00;1;104;29;19;35;21
06.01.2021 01:00;1;51;17;19;8;7
06.01.2021 02:00;1;52;16;15;13;8
06.01.2021 03:00;1;41;11;11;8;11
06.01.2021 04:00;1;76;26;19;17;14
06.01.2021 05:00;1;163;71;18;52;22
06.01.2021 06:00;1;250;103;14;109;24
06.01.2021 07:00;1;249;98;27;103;21
06.01.2021 08:00;1;242;89;23;104;26
06.01.2021 09:00;1;392;168;25;163;36
06.01.2021 10:00;1;518;242;32;214;30
06.01.2021 11:00;1;728;336;25;334;33
06.01.2021 12:00;1;832;361;24;407;40
06.01.2021 13:00;1;908;410;31;421;46
06.01.2021 14:00;1;935;394;26;467;48
06.01.2021 15:00;1;954;418;33;457;46
06.01.2021 16:00;1;816;349;21;401;45
06.01.2021 17:00;1;653;309;25;276;43
06.01.2021 18:00;1;537;254;22;241;20
06.01.2021 19:00;1;382;164;22;176;20
06.01.2021 20:00;1;323;140;15;134;34
06.01.2021 21:00;1;265;125;15;93;32
06.01.2021 22:00;1;145;55;16;59;15
06.01.2021 23:00;1;101;34;10;41;16
07.01.2021 00:00;1;50;14;9;18;9
07.01.2021 01:00;1;49;10;13;16;10
07.01.2021 02:00;1;44;7;15;11;11
07.01.2021 03:00;1;55;14;12;11;18
07.01.2021 04:00;1;107;24;21;32;30
07.01.2021 05:00;1;351;159;35;126;31
07.01.2021 06:00;1;860;398;43;366;53
07.01.2021 07:00;1;1100;466;61;512;61
07.01.2021 08:00;1;857;327;63;407;60
07.01.2021 09:00;1;795;310;64;348;73
07.01.2021 10:00;1;764;301;74;310;79
07.01.2021 11:00;1;922;389;76;382;75
07.01.2021 12:00;1;957;431;64;389;73
07.01.2021 13:00;1;1042;441;72;456;73
07.01.2021 14:00;1;1139;496;65;509;69
07.01.2021 15:00;1;1500;676;74;670;80
07.01.2021 16:00;1;1367;682;59;554;72
07.01.2021 17:00;1;966;482;56;371;57
07.01.2021 18:00;1;750;371;52;268;59
07.01.2021 19:00;1;584;278;53;210;43
07.01.2021 20:00;1;411;161;40;164;46
07.01.2021 21:00;1;282;129;31;103;19
07.01.2021 22:00;1;226;85;36;87;18
07.01.2021 23:00;1;113;41;18;30;24
08.01.2021 00:00;1;80;16;26;19;19
08.01.2021 01:00;1;67;14;18;19;16
08.01.2021 02:00;1;50;7;16;14;13
08.01.2021 03:00;1;45;6;15;11;13
08.01.2021 04:00;1;100;25;29;30;16
08.01.2021 05:00;1;314;130;32;125;27
08.01.2021 06:00;1;774;366;44;318;46
08.01.2021 07:00;1;1047;438;54;495;60
08.01.2021 08:00;1;826;307;66;390;63
08.01.2021 09:00;1;781;277;77;359;68
08.01.2021 10:00;1;782;313;73;333;63
08.01.2021 11:00;1;915;395;59;396;65
08.01.2021 12:00;1;1021;452;62;443;64
08.01.2021 13:00;1;1121;522;83;450;66
08.01.2021 14:00;1;1285;600;62;559;64
08.01.2021 15:00;1;1559;751;51;675;82
08.01.2021 16:00;1;1306;684;46;527;49
08.01.2021 17:00;1;999;524;34;388;53
08.01.2021 18:00;1;788;422;49;281;36
08.01.2021 19:00;1;626;323;37;225;41
08.01.2021 20:00;1;440;212;30;173;25
08.01.2021 21:00;1;331;142;25;138;26
08.01.2021 22:00;1;245;105;23;98;19
08.01.2021 23:00;1;162;75;15;53;19
09.01.2021 00:00;1;101;41;16;30;14
09.01.2021 01:00;1;84;23;11;36;14
09.01.2021 02:00;1;77;32;16;23;6
09.01.2021 03:00;1;44;10;10;12;12
09.01.2021 04:00;1;54;16;16;15;7
09.01.2021 05:00;1;127;50;18;46;13
09.01.2021 06:00;1;163;75;12;50;26
09.01.2021 07:00;1;198;80;16;90;12
09.01.2021 08:00;1;312;117;21;158;16
09.01.2021 09:00;1;472;200;15;228;29
09.01.2021 10:00;1;680;286;17;355;22
09.01.2021 11:00;1;806;380;17;375;34
09.01.2021 12:00;1;915;457;14;416;28
09.01.2021 13:00;1;950;430;15;484;21
09.01.2021 14:00;1;961;495;11;431;24
09.01.2021 15:00;1;965;500;13;415;37
09.01.2021 16:00;1;848;447;11;360;30
09.01.2021 17:00;1;657;317;13;309;18
09.01.2021 18:00;1;501;258;7;214;22
09.01.2021 19:00;1;332;153;8;162;9
09.01.2021 20:00;1;292;125;14;126;27
09.01.2021 21:00;1;242;100;11;117;14
09.01.2021 22:00;1;153;68;6;69;10
09.01.2021 23:00;1;122;61;7;47;7
10.01.2021 00:00;1;94;34;6;48;6
10.01.2021 01:00;1;52;25;7;14;6
10.01.2021 02:00;1;48;23;4;14;7
10.01.2021 03:00;1;26;13;2;8;3
10.01.2021 04:00;1;38;18;2;12;6
10.01.2021 05:00;1;76;32;5;33;6
10.01.2021 06:00;1;122;54;6;51;11
10.01.2021 07:00;1;117;43;4;63;7
10.01.2021 08:00;1;147;53;11;69;14
10.01.2021 09:00;1;236;114;3;106;13
10.01.2021 10:00;1;416;171;14;214;17
10.01.2021 11:00;1;614;264;10;314;26
10.01.2021 12:00;1;819;382;14;390;33
10.01.2021 13:00;1;871;363;16;453;39
10.01.2021 14:00;1;883;395;9;437;42
10.01.2021 15:00;1;917;409;12;459;37
10.01.2021 16:00;1;900;407;16;425;52
10.01.2021 17:00;1;707;345;9;324;29
10.01.2021 18:00;1;568;234;13;283;38
10.01.2021 19:00;1;464;232;15;197;20
10.01.2021 20:00;1;338;146;14;153;25
10.01.2021 21:00;1;278;117;14;128;19
10.01.2021 22:00;1;175;65;11;74;25
10.01.2021 23:00;1;96;34;10;36;16
11.01.2021 00:00;2;47;8;6;17;16
11.01.2021 01:00;2;44;7;15;12;10
11.01.2021 02:00;2;43;7;14;13;9
11.01.2021 03:00;2;51;7;10;19;15
11.01.2021 04:00;2;132;30;26;44;32
11.01.2021 05:00;2;329;126;35;135;33
11.01.2021 06:00;2;1002;451;36;458;57
11.01.2021 07:00;2;1269;558;73;581;57
11.01.2021 08:00;2;879;322;65;418;74
11.01.2021 09:00;2;810;295;81;367;67
11.01.2021 10:00;2;767;303;74;321;69
11.01.2021 11:00;2;837;345;69;357;66
11.01.2021 12:00;2;909;399;86;369;55
11.01.2021 13:00;2;1014;430;84;424;76
11.01.2021 14:00;2;1109;496;59;465;89
11.01.2021 15:00;2;1468;714;64;604;86
11.01.2021 16:00;2;1380;659;70;567;84
11.01.2021 17:00;2;1027;473;74;419;61
11.01.2021 18:00;2;727;361;52;251;63
11.01.2021 19:00;2;525;241;35;187;62
11.01.2021 20:00;2;433;193;45;152;43
11.01.2021 21:00;2;316;129;39;111;37
11.01.2021 22:00;2;211;53;34;92;32
11.01.2021 23:00;2;105;36;18;24;27
12.01.2021 00:00;2;68;15;18;17;18
12.01.2021 01:00;2;56;13;13;14;16
12.01.2021 02:00;2;51;5;19;7;20
12.01.2021 03:00;2;62;9;17;12;24
12.01.2021 04:00;2;119;32;23;30;34
12.01.2021 05:00;2;312;129;33;121;29
12.01.2021 06:00;2;917;439;45;388;45
12.01.2021 07:00;2;1220;521;58;576;65
12.01.2021 08:00;2;904;341;74;411;78
12.01.2021 09:00;2;775;305;67;339;64
12.01.2021 10:00;2;743;281;83;295;84
12.01.2021 11:00;2;809;345;68;328;68
12.01.2021 12:00;2;815;339;66;326;84
12.01.2021 13:00;2;986;442;85;380;79
12.01.2021 14:00;2;1066;483;54;452;77
12.01.2021 15:00;2;1495;694;67;642;92
12.01.2021 16:00;2;1305;627;79;511;88
12.01.2021 17:00;2;968;477;54;373;64
12.01.2021 18:00;2;657;320;55;236;46
12.01.2021 19:00;2;512;247;35;181;49
12.01.2021 20:00;2;358;156;24;140;38
12.01.2021 21:00;2;331;126;36;137;32
12.01.2021 22:00;2;189;70;21;83;15
12.01.2021 23:00;2;113;36;28;27;22
13.01.2021 00:00;2;83;17;15;25;26
13.01.2021 01:00;2;51;13;17;11;10
13.01.2021 02:00;2;64;7;22;10;25
13.01.2021 03:00;2;79;11;22;19;27
13.01.2021 04:00;2;105;42;24;29;10
13.01.2021 05:00;2;331;133;38;121;39
13.01.2021 06:00;2;886;392;43;396;55
13.01.2021 07:00;2;1192;531;60;535;66
13.01.2021 08:00;2;928;356;81;415;76
13.01.2021 09:00;2;696;286;67;278;65
13.01.2021 10:00;2;707;259;82;275;91
13.01.2021 11:00;2;794;307;71;346;70
13.01.2021 12:00;2;804;320;65;352;67
13.01.2021 13:00;2;954;424;72;370;88
13.01.2021 14:00;2;1064;456;70;476;62
13.01.2021 15:00;2;1469;679;75;629;86
13.01.2021 16:00;2;1422;698;55;599;70
13.01.2021 17:00;2;918;422;57;368;71
13.01.2021 18:00;2;788;366;71;289;62
13.01.2021 19:00;2;562;240;56;223;43
13.01.2021 20:00;2;403;174;28;150;51
13.01.2021 21:00;2;309;131;24;118;36
13.01.2021 22:00;2;227;78;32;97;20
13.01.2021 23:00;2;108;35;22;20;31
14.01.2021 00:00;2;80;13;19;26;22
14.01.2021 01:00;2;73;15;24;20;14
14.01.2021 02:00;2;78;7;30;10;31
14.01.2021 03:00;2;84;20;26;21;17
14.01.2021 04:00;2;129;35;27;41;26
14.01.2021 05:00;2;321;131;27;125;38
14.01.2021 06:00;2;875;384;46;397;48
14.01.2021 07:00;2;1184;542;72;493;77
14.01.2021 08:00;2;878;325;74;397;82
14.01.2021 09:00;2;745;295;72;301;77
14.01.2021 10:00;2;794;317;84;322;71
14.01.2021 11:00;2;872;374;69;354;75
14.01.2021 12:00;2;856;361;72;356;67
14.01.2021 13:00;2;974;426;91;383;74
14.01.2021 14:00;2;1206;534;80;518;74
14.01.2021 15:00;2;1561;748;75;644;94
14.01.2021 16:00;2;1454;700;62;630;62
14.01.2021 17:00;2;1042;488;44;441;69
14.01.2021 18:00;2;803;388;59;300;56
14.01.2021 19:00;2;584;279;46;208;51
14.01.2021 20:00;2;448;209;34;165;40
14.01.2021 21:00;2;337;144;34;121;38
14.01.2021 22:00;2;224;72;17;103;32
14.01.2021 23:00;2;103;31;20;32;20
15.01.2021 00:00;2;79;24;14;24;17
15.01.2021 01:00;2;70;12;25;16;17
15.01.2021 02:00;2;52;9;23;8;12
15.01.2021 03:00;2;70;12;26;15;17
15.01.2021 04:00;2;103;27;23;37;16
15.01.2021 05:00;2;326;118;37;135;36
15.01.2021 06:00;2;795;363;43;346;43
15.01.2021 07:00;2;1057;470;50;481;56
15.01.2021 08:00;2;849;315;57;417;60
15.01.2021 09:00;2;762;284;64;348;66
15.01.2021 10:00;2;773;308;60;331;74
15.01.2021 11:00;2;866;356;71;371;68
15.01.2021 12:00;2;968;425;74;401;68
15.01.2021 13:00;2;1151;539;61;489;62
15.01.2021 14:00;2;1349;626;62;588;73
15.01.2021 15:00;2;1590;761;69;696;64
15.01.2021 16:00;2;1398;723;48;559;68
15.01.2021 17:00;2;1185;629;50;449;57
15.01.2021 18:00;2;838;446;49;292;51
15.01.2021 19:00;2;672;378;40;212;42
15.01.2021 20:00;2;458;209;31;185;33
15.01.2021 21:00;2;313;155;11;127;20
15.01.2021 22:00;2;251;94;22;121;14
15.01.2021 23:00;2;132;51;18;43;20
16.01.2021 00:00;2;98;40;14;29;15
16.01.2021 01:00;2;95;31;24;30;10
16.01.2021 02:00;2;48;11;12;14;11
16.01.2021 03:00;2;53;13;13;16;11
16.01.2021 04:00;2;73;26;17;19;11
16.01.2021 05:00;2;142;60;12;51;19
16.01.2021 06:00;2;181;86;13;60;22
16.01.2021 07:00;2;188;66;10;100;12
16.01.2021 08:00;2;293;100;18;152;23
16.01.2021 09:00;2;455;178;14;234;29
16.01.2021 10:00;2;667;305;21;317;24
16.01.2021 11:00;2;854;372;19;426;37
16.01.2021 12:00;2;940;460;22;425;33
16.01.2021 13:00;2;998;540;21;401;36
16.01.2021 14:00;2;960;488;17;417;38
16.01.2021 15:00;2;949;476;23;411;39
16.01.2021 16:00;2;731;376;22;305;28
16.01.2021 17:00;2;639;296;13;309;21
16.01.2021 18:00;2;478;242;13;203;20
16.01.2021 19:00;2;337;166;12;138;21
16.01.2021 20:00;2;250;105;13;121;11
16.01.2021 21:00;2;223;104;8;102;9
16.01.2021 22:00;2;191;72;5;99;15
16.01.2021 23:00;2;118;60;5;46;7
17.01.2021 00:00;2;72;35;1;32;4
17.01.2021 01:00;2;76;36;5;28;7
17.01.2021 02:00;2;43;20;5;14;4
17.01.2021 03:00;2;27;11;3;9;4
17.01.2021 04:00;2;42;17;6;11;8
17.01.2021 05:00;2;76;30;5;30;11
17.01.2021 06:00;2;119;58;3;47;11
17.01.2021 07:00;2;123;49;8;58;8
17.01.2021 08:00;2;161;70;6;77;8
17.01.2021 09:00;2;296;151;10;113;22
17.01.2021 10:00;2;441;198;12;212;19
17.01.2021 11:00;2;694;299;16;356;23
17.01.2021 12:00;2;870;360;14;460;36
17.01.2021 13:00;2;925;420;22;446;37
17.01.2021 14:00;2;958;432;10;487;29
17.01.2021 15:00;2;906;388;10;476;32
17.01.2021 16:00;2;881;393;19;433;36
17.01.2021 17:00;2;824;362;18;401;43
17.01.2021 18:00;2;625;280;21;289;35
17.01.2021 19:00;2;460;198;16;223;23
17.01.2021 20:00;2;331;137;13;146;35
17.01.2021 21:00;2;299;136;14;126;23
17.01.2021 22:00;2;168;58;13;67;30
17.01.2021 23:00;2;96;28;11;34;23
18.01.2021 00:00;3;48;12;9;10;17
18.01.2021 01:00;3;45;10;12;7;16
18.01.2021 02:00;3;47;7;15;7;18
18.01.2021 03:00;3;63;17;14;20;12
18.01.2021 04:00;3;120;24;32;40;24
18.01.2021 05:00;3;351;143;39;122;47
18.01.2021 06:00;3;940;416;42;431;51
18.01.2021 07:00;3;1242;544;46;582;70
18.01.2021 08:00;3;931;383;67;415;66
18.01.2021 09:00;3;797;293;97;352;55
18.01.2021 10:00;3;790;313;74;333;70
18.01.2021 11:00;3;863;382;69;347;65
18.01.2021 12:00;3;912;393;67;379;73
18.01.2021 13:00;3;969;428;86;386;69
18.01.2021 14:00;3;1126;460;85;502;79
18.01.2021 15:00;3;1527;697;81;660;89
18.01.2021 16:00;3;1405;678;68;579;80
18.01.2021 17:00;3;934;402;77;392;63
18.01.2021 18:00;3;686;342;41;247;56
18.01.2021 19:00;3;520;236;34;192;58
18.01.2021 20:00;3;388;177;35;143;33
18.01.2021 21:00;3;296;141;26;98;31
18.01.2021 22:00;3;238;78;34;95;31
18.01.2021 23:00;3;110;32;25;34;19
19.01.2021 00:00;3;72;12;21;14;25
19.01.2021 01:00;3;61;14;23;8;16
19.01.2021 02:00;3;58;7;20;12;19
19.01.2021 03:00;3;66;12;17;14;23
19.01.2021 04:00;3;131;29;30;37;35
19.01.2021 05:00;3;320;147;34;102;37
19.01.2021 06:00;3;926;403;51;418;54
19.01.2021 07:00;3;1287;527;66;629;65
19.01.2021 08:00;3;860;354;57;386;63
19.01.2021 09:00;3;783;319;65;325;74
19.01.2021 10:00;3;782;296;72;351;63
19.01.2021 11:00;3;858;353;57;375;73
19.01.2021 12:00;3;888;380;80;356;72
19.01.2021 13:00;3;963;451;71;366;75
19.01.2021 14:00;3;1123;498;83;483;59
19.01.2021 15:00;3;1438;661;81;604;92
19.01.2021 16:00;3;1348;644;74;552;78
19.01.2021 17:00;3;1007;486;59;392;70
19.01.2021 18:00;3;747;355;55;281;56
19.01.2021 19:00;3;599;283;36;226;54
19.01.2021 20:00;3;416;162;44;170;40
19.01.2021 21:00;3;359;156;41;123;39
19.01.2021 22:00;3;196;73;23;84;16
19.01.2021 23:00;3;113;29;24;35;25
20.01.2021 00:00;3;79;13;26;20;20
20.01.2021 01:00;3;64;12;20;11;21
20.01.2021 02:00;3;54;6;28;9;11
20.01.2021 03:00;3;66;15;21;9;21
20.01.2021 04:00;3;122;29;27;40;26
20.01.2021 05:00;3;357;143;37;132;45
20.01.2021 06:00;3;893;420;44;387;42
20.01.2021 07:00;3;1250;511;67;612;60
20.01.2021 08:00;3;888;378;64;391;55
20.01.2021 09:00;3;732;301;74;290;67
20.01.2021 10:00;3;786;305;73;326;82
20.01.2021 11:00;3;849;341;71;352;85
20.01.2021 12:00;3;903;383;91;360;69
20.01.2021 13:00;3;1025;488;71;391;75
20.01.2021 14:00;3;1140;489;73;502;76
20.01.2021 15:00;3;1529;732;69;647;81
20.01.2021 16:00;3;1455;707;69;593;86
20.01.2021 17:00;3;1018;451;61;445;61
20.01.2021 18:00;3;760;354;46;308;52
20.01.2021 19:00;3;594;281;41;221;51
20.01.2021 20:00;3;433;189;38;175;31
20.01.2021 21:00;3;332;147;30;121;34
20.01.2021 22:00;3;245;88;35;90;32
20.01.2021 23:00;3;113;38;18;32;25
21.01.2021 00:00;3;70;14;18;23;15
21.01.2021 01:00;3;68;11;25;14;18
21.01.2021 02:00;3;61;5;22;10;24
21.01.2021 03:00;3;62;13;21;11;17
21.01.2021 04:00;3;123;30;33;31;29
21.01.2021 05:00;3;334;149;38;114;33
21.01.2021 06:00;3;996;441;46;439;70
21.01.2021 07:00;3;1173;506;46;561;60
21.01.2021 08:00;3;810;332;64;355;59
21.01.2021 09:00;3;785;298;67;350;70
21.01.2021 10:00;3;763;299;65;331;68
21.01.2021 11:00;3;832;364;60;334;74
21.01.2021 12:00;3;933;369;71;409;84
21.01.2021 13:00;3;1001;455;66;394;86
21.01.2021 14:00;3;1119;497;59;492;71
21.01.2021 15:00;3;1535;744;67;652;72
21.01.2021 16:00;3;1369;675;66;548;80
21.01.2021 17:00;3;940;430;57;396;57
21.01.2021 18:00;3;733;371;43;265;54
21.01.2021 19:00;3;554;246;42;226;40
21.01.2021 20:00;3;438;203;41;159;35
21.01.2021 21:00;3;329;144;36;119;30
21.01.2021 22:00;3;210;79;21;84;26
21.01.2021 23:00;3;100;31;20;28;21
22.01.2021 00:00;3;100;28;26;23;23
22.01.2021 01:00;3;77;16;28;15;18
22.01.2021 02:00;3;72;14;24;16;18
22.01.2021 03:00;3;76;14;24;21;17
22.01.2021 04:00;3;119;39;20;36;24
22.01.2021 05:00;3;336;138;36;126;36
22.01.2021 06:00;3;857;385;49;365;58
22.01.2021 07:00;3;1107;460;60;525;62
22.01.2021 08:00;3;802;315;64;380;43
22.01.2021 09:00;3;709;269;64;308;68
22.01.2021 10:00;3;740;281;47;350;62
22.01.2021 11:00;3;924;358;81;412;73
22.01.2021 12:00;3;1039;473;70;441;55
22.01.2021 13:00;3;1111;507;75;449;80
22.01.2021 14:00;3;1328;629;71;562;66
22.01.2021 15:00;3;1636;801;76;686;73
22.01.2021 16:00;3;1410;724;57;575;54
22.01.2021 17:00;3;1071;573;53;401;44
22.01.2021 18:00;3;852;500;32;278;42
22.01.2021 19:00;3;572;309;25;193;45
22.01.2021 20:00;3;445;231;35;151;28
22.01.2021 21:00;3;327;159;26;118;24
22.01.2021 22:00;3;268;110;26;114;18
22.01.2021 23:00;3;154;65;16;50;23
23.01.2021 00:00;3;88;23;20;23;22
23.01.2021 01:00;3;85;28;20;26;11
23.01.2021 02:00;3;71;19;22;19;11
23.01.2021 03:00;3;61;13;18;17;13
23.01.2021 04:00;3;79;26;19;20;14
23.01.2021 05:00;3;136;59;13;47;17
23.01.2021 06:00;3;191;70;22;75;24
23.01.2021 07:00;3;240;94;24;105;17
23.01.2021 08:00;3;337;125;15;159;38
23.01.2021 09:00;3;579;243;24;279;33
23.01.2021 10:00;3;692;329;23;309;31
23.01.2021 11:00;3;854;410;21;389;34
23.01.2021 12:00;3;953;468;28;424;33
23.01.2021 13:00;3;1025;500;31;466;28
23.01.2021 14:00;3;971;481;26;438;26
23.01.2021 15:00;3;884;459;21;378;26
23.01.2021 16:00;3;808;406;19;347;36
23.01.2021 17:00;3;687;339;10;311;27
23.01.2021 18:00;3;510;237;9;239;25
23.01.2021 19:00;3;330;140;18;157;15
23.01.2021 20:00;3;295;129;14;130;22
23.01.2021 21:00;3;248;115;13;107;13
23.01.2021 22:00;3;198;90;9;92;7
23.01.2021 23:00;3;139;54;6;63;16
24.01.2021 00:00;3;88;37;2;35;14
24.01.2021 01:00;3;46;20;4;19;3
24.01.2021 02:00;3;48;24;5;15;4
24.01.2021 03:00;3;44;22;4;13;5
24.01.2021 04:00;3;38;22;3;9;4
24.01.2021 05:00;3;84;37;8;32;7
24.01.2021 06:00;3;132;54;7;64;7
24.01.2021 07:00;3;131;50;6;61;14
24.01.2021 08:00;3;155;62;8;68;17
24.01.2021 09:00;3;290;141;6;125;18
24.01.2021 10:00;3;412;193;8;191;20
24.01.2021 11:00;3;634;271;14;312;37
24.01.2021 12:00;3;717;259;12;400;46
24.01.2021 13:00;3;824;362;20;410;32
24.01.2021 14:00;3;921;393;9;482;37
24.01.2021 15:00;3;897;360;16;470;51
24.01.2021 16:00;3;886;380;17;447;42
24.01.2021 17:00;3;772;331;20;369;52
24.01.2021 18:00;3;644;266;18;327;33
24.01.2021 19:00;3;442;200;13;214;15
24.01.2021 20:00;3;319;125;22;141;31
24.01.2021 21:00;3;283;138;18;110;17
24.01.2021 22:00;3;157;58;13;57;29
24.01.2021 23:00;3;74;24;11;25;14
25.01.2021 00:00;4;52;15;10;15;12
25.01.2021 01:00;4;59;14;11;13;21
25.01.2021 02:00;4;35;3;13;9;10
25.01.2021 03:00;4;58;10;8;16;24
25.01.2021 04:00;4;123;30;25;45;23
25.01.2021 05:00;4;376;151;47;145;33
25.01.2021 06:00;4;993;444;40;440;69
25.01.2021 07:00;4;1178;511;47;562;58
25.01.2021 08:00;4;874;341;68;397;68
25.01.2021 09:00;4;788;288;72;346;82
25.01.2021 10:00;4;795;330;75;314;76
25.01.2021 11:00;4;852;366;74;338;74
25.01.2021 12:00;4;844;350;83;342;69
25.01.2021 13:00;4;950;408;73;396;73
25.01.2021 14:00;4;1095;476;68;453;98
25.01.2021 15:00;4;1594;736;102;663;93
25.01.2021 16:00;4;1406;670;78;572;86
25.01.2021 17:00;4;979;461;65;378;75
25.01.2021 18:00;4;725;359;62;237;67
25.01.2021 19:00;4;503;228;33;189;53
